cod_condutorinfrator;num_auto;dat_apresentdoc;dat_entradasistema
64369;"B078539366";"2007-01-26";"2007-01-26"
63087;"B078530474";"2007-01-23";"2007-01-23"
68835;"B085389625";"2007-01-30";"2007-02-12"
65910;"B085389684";"2007-01-22";"2007-01-31"
75867;"B078518075";"2007-03-12";"2007-03-13"
73044;"B078403502";"2007-01-31";"2007-03-05"
68696;"B095426857";"2007-01-22";"2007-02-09"
69052;"B087969707";"2007-02-01";"2007-02-12"
68140;"B092515355";"2007-02-02";"2007-02-08"
71732;"B092706193";"2007-02-09";"2007-02-26"
69818;"B092707897";"2007-02-05";"2007-02-14"
75417;"B092706727";"2007-02-06";"2007-03-12"
71093;"B092707963";"2007-02-07";"2007-02-22"
80353;"B076074536";"2007-01-25";"2007-03-29"
70349;"B089560108";"2007-02-06";"2007-02-15"
70729;"B092707912";"2007-02-07";"2007-02-16"
75878;"B092707927";"2007-02-10";"2007-03-13"
69379;"B089905587";"2007-02-01";"2007-02-13"
69147;"B079383459";"2007-02-06";"2007-02-12"
65673;"B085564591";"2007-01-25";"2007-01-30"
72967;"B087101629";"2007-02-16";"2007-03-05"
66377;"B085564206";"2007-01-31";"2007-02-01"
68718;"B087101572";"2007-02-02";"2007-02-09"
66939;"B087101617";"2007-01-23";"2007-02-05"
63819;"B088066843";"2007-01-19";"2007-01-24"
70233;"B075364026";"2007-02-09";"2007-02-15"
69771;"B092517358";"2007-02-05";"2007-02-14"
70302;"B085302643";"2007-02-09";"2007-02-15"
67802;"B075363712";"2007-01-22";"2007-02-07"
75768;"B092708737";"2007-01-07";"2007-03-13"
67666;"B075363674";"2007-01-29";"2007-02-07"
69951;"B085562726";"2007-01-06";"2007-02-14"
70288;"B092706777";"2007-01-24";"2007-02-15"
74333;"B092706096";"2007-02-16";"2007-03-07"
