cod_condutorinfrator;num_auto;dat_apresentdoc;dat_entradasistema
116686;"E000214205";"2007-08-04";"2007-08-09"
114322;"E000214434";"2007-07-25";"2007-08-01"
116990;"E000214744";"2007-06-30";"2007-08-10"
113550;"E000214857";"2007-07-26";"2007-07-30"
113534;"E000215112";"2007-07-15";"2007-07-30"
115178;"E000215236";"2007-08-01";"2007-08-03"
116707;"E000215607";"2007-08-08";"2007-08-09"
127102;"E000215643";"2007-07-25";"2007-09-17"
127100;"E000215686";"2007-07-25";"2007-09-17"
118558;"E000215805";"2007-08-03";"2007-08-16"
112195;"E000215899";"2007-07-23";"2007-07-24"
116153;"E000215988";"2007-07-31";"2007-08-07"
116535;"E000216003";"2007-07-25";"2007-08-08"
116953;"E000216143";"2007-08-02";"2007-08-09"
116314;"E000216224";"2007-08-06";"2007-08-08"
112382;"E000216968";"2007-07-20";"2007-07-25"
116080;"E000216976";"2007-08-03";"2007-08-07"
116080;"E000217007";"2007-08-03";"2007-08-07"
112402;"E000217077";"2007-07-19";"2007-07-25"
117118;"B095141103";"2007-08-04";"2007-08-10"
113560;"E000217263";"2007-07-24";"2007-07-30"
118102;"E000217287";"2007-08-03";"2007-08-15"
116064;"E000217514";"2007-08-02";"2007-08-07"
115202;"E000217565";"2007-07-30";"2007-08-03"
114848;"E000217735";"2007-08-02";"2007-08-02"
116968;"E000218014";"2007-08-04";"2007-08-09"
115791;"E000218022";"2007-08-03";"2007-08-07"
117054;"E000218243";"2007-07-30";"2007-08-10"
120780;"B095140158";"2007-08-04";"2007-08-23"
117157;"E000218367";"2007-08-03";"2007-08-13"
116538;"B089683877";"2007-08-06";"2007-08-08"
115860;"E000218634";"2007-08-06";"2007-08-07"
121958;"E000218839";"2007-08-06";"2007-08-27"
121904;"E000218944";"2007-08-01";"2007-08-27"
115697;"B095005722";"2007-08-05";"2007-08-06"
113411;"E000219479";"2007-08-05";"2007-07-30"
116725;"B089690087";"2007-08-03";"2007-08-09"
112562;"E000219807";"2007-07-24";"2007-07-25"
115173;"B000355194";"2007-07-25";"2007-08-03"
129763;"E000220906";"2007-08-03";"2007-09-26"
131645;"E000220981";"2007-08-05";"2007-10-02"
119758;"B000355224";"2007-08-09";"2007-08-21"
116286;"E000221767";"2007-08-01";"2007-08-08"
116811;"B000355247";"2007-08-02";"2007-08-09"
115673;"E000221961";"2007-07-30";"2007-08-06"
111283;"E000222224";"2007-07-12";"2007-07-19"
115243;"E000222321";"2007-08-01";"2007-08-03"
116892;"E000222477";"2007-08-02";"2007-08-09"
115338;"E000222682";"2007-07-31";"2007-08-06"
112571;"E000222976";"2007-07-20";"2007-07-25"
116928;"E000223328";"2007-08-03";"2007-08-09"
128381;"E000223367";"2007-07-24";"2007-09-20"
116055;"E000223697";"2007-08-05";"2007-08-07"
117991;"E000223937";"2007-08-03";"2007-08-15"
118602;"B095640142";"2007-08-16";"2007-08-16"
111134;"R007987037";"2007-07-12";"2007-07-18"
126830;"R007987161";"2007-07-12";"2007-09-17"
129337;"R007987331";"2007-07-31";"2007-09-25"
128809;"R007987552";"2007-07-25";"2007-09-21"
128270;"R007987567";"2007-07-25";"2007-09-20"
128271;"R007987579";"2007-07-25";"2007-09-20"
127273;"R007987877";"2007-07-20";"2007-09-18"
127012;"R007987935";"2007-07-13";"2007-09-17"
129598;"R007987951";"2007-07-30";"2007-09-25"
128817;"R007988044";"2007-07-25";"2007-09-21"
128354;"R007988869";"2007-07-23";"2007-09-20"
116942;"R007988915";"2007-08-03";"2007-08-09"
127493;"R007989784";"2007-07-19";"2007-09-18"
129915;"R007991878";"2007-08-03";"2007-09-26"
123175;"R007991959";"2007-07-25";"2007-08-30"
127208;"R007991975";"2007-07-16";"2007-09-17"
126500;"R007992033";"2007-08-01";"2007-09-14"
128641;"R007992084";"2007-07-19";"2007-09-21"
128458;"R007992122";"2007-07-27";"2007-09-20"
118354;"R007995857";"2007-08-03";"2007-08-16"
117801;"R007996187";"2007-08-01";"2007-08-14"
129383;"R007996322";"2007-07-30";"2007-09-25"
112375;"R007997655";"2007-07-19";"2007-07-25"
122459;"R007997841";"2007-07-23";"2007-08-28"
127614;"R007997884";"2007-07-16";"2007-09-18"
111358;"R007997937";"2007-07-18";"2007-07-19"
128768;"R007997949";"2007-07-26";"2007-09-21"
113196;"L002555611";"2007-07-23";"2007-07-27"
118336;"R007998317";"2007-08-01";"2007-08-16"
117085;"R008000147";"2007-07-17";"2007-08-10"
120889;"R008000174";"2007-08-02";"2007-08-23"
120564;"R008000387";"2007-07-19";"2007-08-22"
123607;"R008000727";"2007-08-02";"2007-08-31"
121902;"R008000816";"2007-07-30";"2007-08-27"
121957;"R008000921";"2007-08-03";"2007-08-27"
123253;"R008000956";"2007-08-01";"2007-08-30"
120536;"R008001049";"2007-07-18";"2007-08-22"
125161;"R008001162";"2007-08-03";"2007-09-10"
123244;"R008001189";"2007-07-31";"2007-08-30"
122771;"R008001316";"2007-07-26";"2007-08-29"
123086;"R008001448";"2007-07-30";"2007-08-30"
127808;"R008001487";"2007-08-10";"2007-09-18"
129286;"R008001499";"2007-08-17";"2007-09-24"
123937;"R008001839";"2007-07-25";"2007-09-03"
122310;"R008001863";"2007-07-25";"2007-08-28"
119055;"R008002029";"2007-07-20";"2007-08-17"
123890;"R008002134";"2007-07-31";"2007-09-03"
125147;"R008002347";"2007-08-03";"2007-09-10"
116902;"R008002467";"2007-07-16";"2007-08-09"
123901;"R008002777";"2007-07-25";"2007-09-03"
119492;"R008002827";"2007-07-19";"2007-08-20"
122781;"R008002932";"2007-07-26";"2007-08-29"
114857;"R008002967";"2007-07-09";"2007-08-02"
127125;"R008003017";"2007-07-24";"2007-09-17"
121914;"R008003057";"2007-08-01";"2007-08-27"
121939;"R008003114";"2007-08-03";"2007-08-27"
120901;"R008003238";"2007-08-02";"2007-08-23"
122293;"R008003386";"2007-07-20";"2007-08-28"
121960;"R008003537";"2007-08-03";"2007-08-27"
123885;"R008003807";"2007-08-02";"2007-09-03"
119664;"R008003823";"2007-07-20";"2007-08-20"
121900;"R008003912";"2007-08-03";"2007-08-27"
121937;"R008004684";"2007-08-03";"2007-08-27"
122471;"R008004862";"2007-07-25";"2007-08-28"
121887;"R008005389";"2007-08-03";"2007-08-27"
129015;"R008005745";"2007-07-24";"2007-09-24"
119071;"R008005857";"2007-07-20";"2007-08-17"
121888;"R008006032";"2007-07-30";"2007-08-27"
126433;"R008006903";"2007-08-01";"2007-09-14"
121932;"R008007012";"2007-08-02";"2007-08-27"
125155;"R008007397";"2007-08-03";"2007-09-10"
129835;"R008007969";"2007-07-27";"2007-09-26"
126408;"R008008663";"2007-07-31";"2007-09-14"
114847;"R008009171";"2007-08-01";"2007-08-02"
114401;"R008009082";"2007-08-01";"2007-08-01"
115284;"L002555707";"2007-08-01";"2007-08-03"
114941;"R008008997";"2007-08-01";"2007-08-03"
114850;"R008009007";"2007-08-01";"2007-08-02"
114853;"R008009031";"2007-08-01";"2007-08-02"
115041;"R008009047";"2007-08-01";"2007-08-03"
115043;"R008009139";"2007-08-01";"2007-08-03"
113116;"R008009244";"2007-07-24";"2007-07-27"
115900;"R008009147";"2007-07-26";"2007-08-07"
111127;"R008009384";"2007-07-16";"2007-07-18"
121927;"R008009511";"2007-08-02";"2007-08-27"
110759;"R008009546";"2007-07-16";"2007-07-17"
113104;"R008009589";"2007-07-27";"2007-07-27"
115263;"R008009635";"2007-08-03";"2007-08-03"
115199;"R008009708";"2007-08-03";"2007-08-03"
114800;"R008009747";"2007-08-02";"2007-08-02"
116569;"R008009775";"2007-08-03";"2007-08-09"
114631;"R008009805";"2007-07-27";"2007-08-02"
112856;"R008009813";"2007-08-01";"2007-08-03"
118179;"R008009977";"2007-07-25";"2007-08-15"
115659;"R008010056";"2007-07-18";"2007-08-06"
129565;"R008010072";"2007-07-03";"2007-09-25"
127097;"R008010137";"2007-07-25";"2007-09-17"
