cod_condutorinfrator;num_auto;dat_apresentdoc;dat_entradasistema
116066;"R008010838";"2007-08-03";"2007-08-07"
113500;"R008010862";"2007-07-24";"2007-07-30"
115597;"R008011079";"2007-08-01";"2007-08-06"
115643;"R008011117";"2007-08-03";"2007-08-06"
116778;"R008011157";"2007-08-03";"2007-08-09"
124161;"L002555735";"2007-08-21";"2007-09-04"
113958;"R008011273";"2007-07-25";"2007-07-31"
117489;"R008011486";"2007-08-02";"2007-08-13"
112106;"R008011591";"2007-07-23";"2007-07-23"
113515;"R008011687";"2007-07-16";"2007-07-30"
112400;"R008011857";"2007-07-24";"2007-07-25"
115172;"R008011931";"2007-07-31";"2007-08-03"
122270;"R008012407";"2007-07-18";"2007-08-28"
126785;"L002555751";"2007-09-05";"2007-09-17"
112341;"R008012617";"2007-07-23";"2007-07-24"
117092;"R008012695";"2007-08-01";"2007-08-10"
123560;"R008012717";"2007-07-23";"2007-08-31"
112312;"R008012857";"2007-07-20";"2007-07-24"
114119;"R008012873";"2007-07-30";"2007-07-31"
111414;"R008012897";"2007-07-18";"2007-07-19"
123845;"R008013101";"2007-08-03";"2007-09-03"
116120;"R008013225";"2007-08-07";"2007-08-07"
121776;"R008013257";"2007-08-27";"2007-08-27"
112273;"R008013349";"2007-07-24";"2007-07-24"
116108;"R008013507";"2007-08-03";"2007-08-07"
112848;"R008015023";"2007-07-18";"2007-07-26"
115642;"R008015716";"2007-08-01";"2007-08-06"
117451;"R008015856";"2007-08-01";"2007-08-13"
115079;"R008015872";"2007-07-31";"2007-08-03"
115614;"R008016143";"2007-08-03";"2007-08-06"
113082;"R008016356";"2007-08-03";"2007-07-27"
114842;"R008017317";"2007-07-31";"2007-08-02"
114532;"R008017549";"2007-07-24";"2007-08-01"
114956;"R008017767";"2007-08-01";"2007-08-03"
114551;"R008017794";"2007-07-19";"2007-08-01"
115623;"R008017905";"2007-08-03";"2007-08-06"
114361;"R008018127";"2007-07-27";"2007-08-01"
115618;"R008018383";"2007-08-03";"2007-08-06"
116512;"R008019118";"2007-08-03";"2007-08-08"
122507;"R008019727";"2007-08-03";"2007-08-28"
116568;"R008019991";"2007-08-03";"2007-08-09"
130430;"R008020515";"2007-08-03";"2007-09-27"
115188;"R008024855";"2007-07-30";"2007-08-03"
118705;"R008024901";"2007-08-03";"2007-08-17"
116044;"R008024952";"2007-08-02";"2007-08-07"
117060;"R008025142";"2007-08-03";"2007-08-10"
117072;"R008025053";"2007-08-03";"2007-08-10"
117069;"R008025077";"2007-08-03";"2007-08-10"
113279;"R008025401";"2007-07-27";"2007-07-27"
129722;"R008025762";"2007-08-03";"2007-09-25"
126532;"R008025894";"2007-08-02";"2007-09-14"
127263;"R008026137";"2007-07-18";"2007-09-18"
130833;"R008026254";"2007-08-08";"2007-09-28"
130835;"R008026416";"2007-08-08";"2007-09-28"
128585;"R008026587";"2007-07-25";"2007-09-20"
118931;"R008026599";"2007-08-03";"2007-08-17"
113659;"R008026847";"2007-07-18";"2007-07-30"
115427;"R008026971";"2007-07-25";"2007-08-06"
115004;"R008027161";"2007-07-25";"2007-08-03"
116847;"R008027234";"2007-08-02";"2007-08-09"
117805;"R008027257";"2007-08-03";"2007-08-14"
118138;"R008027498";"2007-08-01";"2007-08-15"
115420;"R008027633";"2007-07-24";"2007-08-06"
113194;"R008028133";"2007-07-19";"2007-07-27"
117057;"R008028192";"2007-07-27";"2007-08-10"
113400;"R008028419";"2007-07-18";"2007-07-30"
111901;"R008028559";"2007-07-16";"2007-07-23"
122772;"R008028761";"2007-08-03";"2007-08-29"
114006;"R008028931";"2007-07-17";"2007-07-31"
117716;"R008029334";"2007-08-01";"2007-08-14"
118728;"R008029733";"2007-08-03";"2007-08-17"
121469;"R008029741";"2007-08-03";"2007-08-27"
120352;"R008029822";"2007-08-03";"2007-08-22"
120407;"R008029865";"2007-07-17";"2007-08-22"
119446;"R008030207";"2007-08-03";"2007-08-20"
119447;"R008030766";"2007-08-03";"2007-08-20"
122536;"R008031355";"2007-08-03";"2007-08-29"
117699;"R008031363";"2007-08-03";"2007-08-14"
122915;"R008033447";"2007-08-03";"2007-08-29"
118030;"R008034478";"2007-08-03";"2007-08-15"
120336;"R008034761";"2007-08-03";"2007-08-22"
121797;"R008034893";"2007-07-31";"2007-08-27"
118109;"R008035277";"2007-07-31";"2007-08-15"
118702;"R008035897";"2007-07-17";"2007-08-17"
120347;"R008036217";"2007-08-03";"2007-08-22"
118965;"R008037426";"2007-08-03";"2007-08-17"
129026;"R008037787";"2007-07-25";"2007-09-24"
119359;"R008037825";"2007-08-03";"2007-08-20"
118787;"R008037892";"2007-08-03";"2007-08-17"
129505;"R008038023";"2007-08-01";"2007-09-25"
118578;"R008038104";"2007-07-24";"2007-08-16"
117729;"R008038201";"2007-08-02";"2007-08-14"
127846;"R008038295";"2007-07-16";"2007-09-18"
118314;"E000224197";"2007-08-08";"2007-08-16"
123660;"E000224657";"2007-08-18";"2007-09-03"
117129;"E000224855";"2007-08-08";"2007-08-10"
117131;"E000224887";"2007-08-08";"2007-08-10"
121038;"E000224979";"2007-08-11";"2007-08-24"
116338;"E000224952";"2007-08-02";"2007-08-08"
122766;"E000225017";"2007-08-08";"2007-08-29"
117895;"E000225107";"2007-08-07";"2007-08-15"
115311;"E000225118";"2007-08-08";"2007-08-03"
111443;"E000225142";"2007-07-16";"2007-07-19"
121846;"E000225215";"2007-08-11";"2007-08-27"
117209;"B089689518";"2007-08-08";"2007-08-13"
117763;"E000225657";"2007-08-08";"2007-08-14"
119296;"E000225789";"2007-08-11";"2007-08-20"
117197;"E000225851";"2007-08-06";"2007-08-13"
127341;"B092769365";"2007-07-20";"2007-09-18"
118717;"B093344465";"2007-07-16";"2007-08-17"
121494;"B093344473";"2007-08-08";"2007-08-27"
129082;"B059468564";"2007-07-26";"2007-09-24"
127271;"B059468572";"2007-07-20";"2007-09-18"
117829;"B093350449";"2007-08-11";"2007-08-14"
129436;"B000176885";"2007-07-27";"2007-09-25"
129111;"B000176893";"2007-07-25";"2007-09-24"
119264;"E000226017";"2007-08-18";"2007-08-20"
120369;"E000226041";"2007-08-11";"2007-08-22"
121080;"E000226057";"2007-08-11";"2007-08-24"
120354;"E000226114";"2007-08-08";"2007-08-22"
114869;"E000226197";"2007-08-01";"2007-08-02"
117846;"E000226289";"2007-08-11";"2007-08-14"
118316;"E000226394";"2007-08-08";"2007-08-16"
121844;"E000226416";"2007-08-08";"2007-08-27"
128632;"B059651903";"2007-07-20";"2007-09-21"
131091;"B059652167";"2007-08-10";"2007-10-01"
127882;"B059652152";"2007-07-18";"2007-09-19"
130602;"B059652136";"2007-08-06";"2007-09-27"
131275;"B059652128";"2007-08-08";"2007-10-01"
119719;"E000226831";"2007-08-03";"2007-08-21"
117879;"B059652098";"2007-08-08";"2007-08-15"
128267;"B059652071";"2007-07-23";"2007-09-20"
122004;"E000227129";"2007-08-08";"2007-08-28"
122048;"E000227137";"2007-08-12";"2007-08-28"
121463;"E000227234";"2007-08-08";"2007-08-27"
118238;"E000227285";"2007-08-08";"2007-08-15"
129765;"B092952321";"2007-08-04";"2007-09-26"
118178;"E000227587";"2007-07-28";"2007-08-15"
127212;"B092952348";"2007-07-15";"2007-09-17"
127862;"B092951759";"2007-07-19";"2007-09-19"
128838;"B059480033";"2007-07-24";"2007-09-21"
128838;"B059480041";"2007-07-24";"2007-09-21"
116921;"E000228157";"2007-08-06";"2007-08-09"
112579;"E000228206";"2007-07-24";"2007-07-25"
117904;"E000228249";"2007-08-18";"2007-08-15"
127654;"B059646713";"2007-07-17";"2007-09-18"
131141;"B059468858";"2007-08-08";"2007-10-01"
128542;"B059646647";"2007-07-24";"2007-09-20"
128610;"B059646683";"2007-07-23";"2007-09-21"
130360;"B059647809";"2007-08-03";"2007-09-27"
129043;"B059647787";"2007-07-27";"2007-09-24"
117039;"E000228753";"2007-08-06";"2007-08-10"
131095;"B059647892";"2007-08-08";"2007-10-01"
118511;"E000228931";"2007-08-09";"2007-08-16"
131484;"B059647884";"2007-08-08";"2007-10-02"
130838;"B059647876";"2007-08-08";"2007-09-28"
131156;"B059484608";"2007-08-09";"2007-10-01"
126177;"B059585048";"2007-07-31";"2007-09-13"
130844;"B000094072";"2007-08-08";"2007-09-28"
119816;"B093141181";"2007-08-18";"2007-08-21"
118865;"E000229199";"2007-08-08";"2007-08-17"
128952;"B000094102";"2007-07-27";"2007-09-21"
129005;"B092786219";"2007-07-26";"2007-09-21"
120368;"E000229326";"2007-08-11";"2007-08-22"
118501;"B000197815";"2007-08-10";"2007-08-16"
129663;"B059545054";"2007-08-01";"2007-09-25"
129624;"B000197467";"2007-08-03";"2007-09-25"
129538;"B092498205";"2007-07-26";"2007-09-25"
124054;"B089689445";"2007-08-01";"2007-09-04"
113132;"B092786251";"2007-07-23";"2007-07-27"
131112;"B092817769";"2007-08-10";"2007-10-01"
127406;"B092817823";"2007-07-18";"2007-09-18"
121862;"E000229527";"2007-08-11";"2007-08-27"
114377;"E000229571";"2007-07-23";"2007-08-01"
128611;"B091833698";"2007-07-20";"2007-09-21"
130947;"B092947301";"2007-08-08";"2007-09-28"
130539;"B092767443";"2007-08-06";"2007-09-27"
112893;"E000229717";"2007-07-18";"2007-07-26"
131225;"B092943292";"2007-08-08";"2007-10-01"
127820;"B092943365";"2007-07-18";"2007-09-18"
115460;"E000230006";"2007-07-26";"2007-08-06"
118699;"E000230022";"2007-07-19";"2007-08-17"
117101;"B089696433";"2007-08-07";"2007-08-10"
116533;"B089684974";"2007-08-08";"2007-08-08"
115273;"E000230634";"2007-08-03";"2007-08-03"
119678;"E000230487";"2007-07-18";"2007-08-20"
115731;"E000230626";"2007-07-31";"2007-08-07"
114846;"B095663789";"2007-08-01";"2007-08-02"
118435;"E000230855";"2007-08-08";"2007-08-16"
118492;"E000230928";"2007-08-08";"2007-08-16"
125964;"E000231215";"2007-08-06";"2007-09-12"
123725;"E000231177";"2007-08-06";"2007-09-03"
114256;"E000231355";"2007-08-08";"2007-08-01"
118503;"E000231347";"2007-08-08";"2007-08-16"
126468;"E000231363";"2007-08-07";"2007-09-14"
123881;"E000231387";"2007-08-18";"2007-09-03"
119747;"E000231467";"2007-08-11";"2007-08-21"
124583;"E000231479";"2007-08-14";"2007-09-05"
118440;"E000231557";"2007-08-08";"2007-08-16"
120226;"E000231649";"2007-08-08";"2007-08-21"
119362;"E000231697";"2007-08-07";"2007-08-20"
116831;"E000231916";"2007-08-06";"2007-08-09"
128372;"R007986998";"2007-07-23";"2007-09-20"
117296;"R007987087";"2007-08-03";"2007-08-13"
112434;"R007987102";"2007-07-19";"2007-07-25"
127665;"R007987129";"2007-07-18";"2007-09-18"
129064;"R007987137";"2007-07-26";"2007-09-24"
110564;"R007987427";"2007-07-12";"2007-07-17"
129331;"R007987455";"2007-08-01";"2007-09-25"
130825;"R007987471";"2007-08-08";"2007-09-28"
113176;"L002554917";"2007-07-18";"2007-07-27"
111120;"R007987536";"2007-07-13";"2007-07-18"
113054;"R007987625";"2007-07-22";"2007-07-27"
128827;"R007987657";"2007-07-23";"2007-09-21"
128132;"R007987668";"2007-07-18";"2007-09-19"
129562;"R007987706";"2007-08-01";"2007-09-25"
129739;"R007987722";"2007-08-02";"2007-09-26"
123110;"R007987737";"2007-07-24";"2007-08-30"
130087;"R007987827";"2007-08-03";"2007-09-26"
128732;"R007987854";"2007-07-25";"2007-09-21"
118709;"R007987846";"2007-08-03";"2007-08-17"
127251;"R007987967";"2007-07-20";"2007-09-18"
116576;"R007988017";"2007-08-03";"2007-08-09"
114600;"R007988087";"2007-07-30";"2007-08-02"
129730;"R007988443";"2007-08-03";"2007-09-25"
128185;"R007988478";"2007-07-17";"2007-09-19"
129329;"R007988559";"2007-07-30";"2007-09-25"
127633;"R007988567";"2007-07-17";"2007-09-18"
128806;"R007988885";"2007-07-25";"2007-09-21"
129447;"R007988893";"2007-07-27";"2007-09-25"
118995;"R007989008";"2007-08-03";"2007-08-17"
127634;"R007989105";"2007-07-17";"2007-09-18"
119182;"R007989113";"2007-08-03";"2007-08-20"
118164;"L002554976";"2007-08-03";"2007-08-15"
127901;"R007989187";"2007-07-17";"2007-09-19"
128202;"R007989202";"2007-07-24";"2007-09-19"
119189;"R007989229";"2007-08-03";"2007-08-20"
128256;"R007989326";"2007-07-25";"2007-09-20"
128617;"R007989369";"2007-07-25";"2007-09-21"
117407;"R007989377";"2007-08-03";"2007-08-13"
115055;"L002554984";"2007-07-25";"2007-08-03"
127366;"R007989431";"2007-07-20";"2007-09-18"
128672;"R007989458";"2007-07-27";"2007-09-21"
127225;"R007989504";"2007-07-13";"2007-09-18"
130507;"R007989547";"2007-08-03";"2007-09-27"
131032;"R007989563";"2007-08-08";"2007-10-01"
128274;"R007989571";"2007-07-23";"2007-09-20"
127214;"R007989617";"2007-07-17";"2007-09-17"
113414;"R007989652";"2007-08-03";"2007-07-30"
120459;"R007989857";"2007-08-03";"2007-08-22"
129872;"R007989962";"2007-08-02";"2007-09-26"
110705;"R007991777";"2007-07-13";"2007-07-17"
113830;"L002555115";"2007-07-17";"2007-07-31"
118339;"R007991827";"2007-08-03";"2007-08-16"
128266;"R007991894";"2007-07-23";"2007-09-20"
130615;"R007991991";"2007-08-07";"2007-09-27"
129855;"R007992076";"2007-07-27";"2007-09-26"
114558;"R007992114";"2007-07-31";"2007-08-01"
112362;"R007992157";"2007-07-20";"2007-07-25"
113011;"R007995837";"2007-07-25";"2007-07-26"
118740;"L002555506";"2007-08-03";"2007-08-17"
128451;"R007996373";"2007-07-20";"2007-09-20"
127248;"R007996705";"2007-07-20";"2007-09-18"
127246;"R007996713";"2007-07-18";"2007-09-18"
129315;"R007996721";"2007-07-30";"2007-09-25"
128279;"R007996829";"2007-07-23";"2007-09-20"
126924;"R007996845";"2007-07-12";"2007-09-17"
128698;"R007996907";"2007-07-26";"2007-09-21"
130315;"R007997086";"2007-08-03";"2007-09-27"
130155;"R007997302";"2007-08-02";"2007-09-26"
127678;"R007997457";"2007-07-17";"2007-09-18"
129405;"R007997485";"2007-07-31";"2007-09-25"
128422;"R007997558";"2007-07-27";"2007-09-20"
128253;"R007997604";"2007-07-25";"2007-09-19"
126989;"R007997627";"2007-07-12";"2007-09-17"
128514;"R007997639";"2007-07-24";"2007-09-20"
130219;"R007997767";"2007-07-31";"2007-09-26"
129019;"R007997892";"2007-07-30";"2007-09-24"
129888;"R007997906";"2007-08-02";"2007-09-26"
115225;"R007997922";"2007-07-31";"2007-08-03"
127071;"R007998007";"2007-07-16";"2007-09-17"
127891;"R007998031";"2007-07-18";"2007-09-19"
130253;"R007998201";"2007-08-07";"2007-09-27"
113879;"R007998228";"2007-07-24";"2007-07-31"
116482;"R007998236";"2007-08-03";"2007-08-08"
112092;"R007998357";"2007-07-17";"2007-07-23"
115377;"L002555677";"2007-07-25";"2007-08-06"
118363;"L002555689";"2007-08-02";"2007-08-16"
130781;"R007998527";"2007-08-07";"2007-09-27"
126991;"R007998619";"2007-07-13";"2007-09-17"
131049;"R007998716";"2007-08-03";"2007-10-01"
126501;"R007999275";"2007-08-03";"2007-09-14"
127861;"R007999593";"2007-07-03";"2007-09-19"
129338;"R007999666";"2007-07-26";"2007-09-25"
130297;"R007999704";"2007-08-02";"2007-09-27"
130600;"R007999747";"2007-08-06";"2007-09-27"
125150;"R008001987";"2007-08-04";"2007-09-10"
120902;"R008002592";"2007-08-02";"2007-08-23"
122613;"R008002637";"2007-07-26";"2007-08-29"
126912;"R008004757";"2007-07-27";"2007-09-17"
120064;"R008005079";"2007-07-24";"2007-08-21"
119084;"R008006997";"2007-07-20";"2007-08-17"
123587;"R008007764";"2007-07-30";"2007-08-31"
127790;"R008007926";"2007-08-03";"2007-09-18"
126007;"R008008396";"2007-08-03";"2007-09-12"
123580;"R008008671";"2007-07-31";"2007-08-31"
122745;"R008008884";"2007-07-24";"2007-08-29"
115080;"R008009155";"2007-08-01";"2007-08-03"
115056;"R008009163";"2007-08-01";"2007-08-03"
113754;"R008009074";"2007-07-27";"2007-07-30"
129327;"R008009252";"2007-07-30";"2007-09-25"
115034;"R008009325";"2007-08-01";"2007-08-03"
115054;"R008009267";"2007-08-01";"2007-08-03"
115051;"R008009287";"2007-08-01";"2007-08-03"
115065;"R008009295";"2007-08-01";"2007-08-03"
115030;"R008009309";"2007-07-30";"2007-08-03"
128686;"R008009317";"2007-07-25";"2007-09-21"
121459;"R008009187";"2007-08-03";"2007-08-27"
115038;"R008009228";"2007-08-01";"2007-08-03"
114860;"R008009198";"2007-08-01";"2007-08-02"
115237;"R008009201";"2007-08-01";"2007-08-03"
122334;"R008009473";"2007-07-23";"2007-08-28"
122361;"R008009724";"2007-08-03";"2007-08-28"
129402;"R008010013";"2007-07-31";"2007-09-25"
130272;"R008011001";"2007-08-01";"2007-09-27"
129040;"R008011036";"2007-07-23";"2007-09-24"
115749;"R008011397";"2007-08-01";"2007-08-07"
112144;"R008011637";"2007-07-19";"2007-07-24"
112155;"R008011656";"2007-08-03";"2007-07-24"
114540;"R008011753";"2007-07-30";"2007-08-01"
127329;"R008011777";"2007-07-18";"2007-09-18"
115980;"R008011877";"2007-07-17";"2007-08-07"
113971;"R008012083";"2007-07-27";"2007-07-31"
118362;"R008012253";"2007-07-27";"2007-08-16"
117823;"R008012423";"2007-08-03";"2007-08-14"
128951;"R008012447";"2007-07-27";"2007-09-21"
115272;"R008013167";"2007-08-03";"2007-08-03"
115272;"R008013179";"2007-08-03";"2007-08-03"
115691;"R008013233";"2007-08-03";"2007-08-06"
119088;"R008013543";"2007-08-14";"2007-08-17"
116172;"R008014317";"2007-08-02";"2007-08-07"
112495;"R008014507";"2007-07-13";"2007-07-25"
115633;"R008014647";"2007-08-03";"2007-08-06"
115256;"R008015031";"2007-08-02";"2007-08-03"
114380;"R008015217";"2007-07-27";"2007-08-01"
114546;"R008015252";"2007-07-25";"2007-08-01"
112961;"R008015422";"2007-07-23";"2007-07-26"
116173;"R008015481";"2007-08-03";"2007-08-07"
112951;"R008015848";"2007-07-23";"2007-07-26"
111709;"R008016011";"2007-07-16";"2007-07-20"
114831;"R008016337";"2007-08-01";"2007-08-02"
116217;"R008016429";"2007-07-27";"2007-08-08"
114837;"R008016518";"2007-08-01";"2007-08-02"
115629;"R008016895";"2007-08-03";"2007-08-06"
114479;"R008017344";"2007-07-30";"2007-08-01"
113898;"R008017646";"2007-07-26";"2007-07-31"
113696;"R008017883";"2007-07-30";"2007-07-30"
113878;"R008018577";"2007-07-26";"2007-07-31"
117459;"R008018747";"2007-03-02";"2007-08-13"
112363;"R008018863";"2007-07-18";"2007-07-25"
114569;"R008019017";"2007-08-03";"2007-08-01"
113840;"R008019266";"2007-07-19";"2007-07-31"
116261;"R008019444";"2007-07-27";"2007-08-08"
127141;"R008019649";"2007-08-03";"2007-09-17"
112988;"R008022372";"2007-07-26";"2007-07-26"
114387;"R008022402";"2007-07-31";"2007-08-01"
129014;"R008022453";"2007-07-30";"2007-09-24"
129013;"R008022445";"2007-07-30";"2007-09-24"
112355;"R008022585";"2007-07-20";"2007-07-24"
114819;"R008022697";"2007-08-02";"2007-08-02"
111192;"R008022895";"2007-07-18";"2007-07-19"
112981;"R008022976";"2007-07-26";"2007-07-26"
114907;"R008023077";"2007-08-02";"2007-08-03"
117942;"R008023093";"2007-08-13";"2007-08-15"
114018;"R008023131";"2007-07-30";"2007-07-31"
114902;"R008023468";"2007-07-31";"2007-08-03"
115300;"R008023476";"2007-08-03";"2007-08-03"
114653;"R008024235";"2007-07-27";"2007-08-02"
115764;"R008024324";"2007-07-24";"2007-08-07"
115681;"R008024359";"2007-08-03";"2007-08-06"
115677;"R008024367";"2007-08-03";"2007-08-06"
120349;"R008024464";"2007-08-03";"2007-08-22"
115156;"L002555824";"2007-07-30";"2007-08-03"
